Product,Unit,PackageType,ContentQty,X,Y,Z,Weight
118548,Unit,BA,1,12.7,6.4,17.5,0.174
118570,Unit,BA,1,19,4.3,14.8,0.18
119682,Car,BA,24,38,16,18,4.66
119682,Unit,BA,1,8,4.7,15.1,0.178
119684,Car,BA,24,38,16,18,4.68
119684,Unit,BA,1,8,3,13,0.18
119685,Unit,BA,1,18,3,9,0.1
119685,Car,BA,24,37,16,18,4.7
119686,Unit,BA,1,8,3,13,0.18
119686,Car,BA,24,38,16,18,4.67
119687,Car,BA,24,38,16,18,4.64
119687,Unit,BA,1,18,3,9,0.1
119828,Car,BA,20,53,31,43,15.4
119828,Unit,BA,1,10.6,5.9,51.9,0.706
120732,Unit,BA,1,23,2,32,0.2
120801,Unit,BA,1,12.5,3.6,18.3,0.438
120801,Car,BA,10,35.4,14.9,19.6,4.52
121331,Unit,BA,1,32,32,17,3
121333,Car,BA,200,47,30,30,10.25
121333,Unit,BA,1,16,4.3,20.3,0.046
122268,Unit,BA,1,17.5,6.6,25.4,0.08
122269,Unit,BA,1,12.5,6.3,17.7,0.072
122270,Unit,BA,1,1.8,2.9,10.4,0.078
123077,Unit,BA,1,3,1,3,0.004
123079,Unit,BA,1,4,2,4,0.1
123080,Unit,BA,1,4,2,4,0.1
123082,Unit,BA,1,3,1,1,0.01
123120,Unit,BA,1,26.5,3,10.5,0.29
123122,Car,BA,4,28,12,13.5,1.7
123122,Unit,BA,1,12.8,2.4,26.5,0.396
123123,Unit,BA,1,6.3,2.7,20.7,0.06
123124,Unit,BA,1,23,3.2,8.5,0.146
123126,Unit,BA,1,53.2,5.9,10.7,0.728
123126,Car,BA,20,53,31,43,15.5
123127,Unit,BA,1,61.3,5.1,14.3,1.71
123127,Car,BA,10,52,27,33,20.54
123128,Unit,BA,1,14.7,2.9,9.7,0.038
123128,Car,BA,25,27.5,8.1,16,0.964
123129,Car,BA,25,33.1,7.9,16.4,1.294
123129,Unit,BA,1,9.8,3.4,7.3,0.048
123544,Car,BA,10,40,23,22,13.3
